"","Binomial","Freq","2014","2015","2016","2017","2018","2019"
"Aburria_cumanensis_149","Aburria_cumanensis_149",2,1,NA,NA,NA,NA,NA
"Alouatta_belzebul_207","Alouatta_belzebul_207",4,1,NA,1,-0.0488962824050964,-0.340481035063224,NA
"Alouatta_puruensis_222","Alouatta_puruensis_222",2,1,NA,NA,NA,NA,0.288218019904016
"Ateles_chamek_118","Ateles_chamek_118",6,1,0.143535225099959,-0.0351957503111202,-0.0906107078284066,-0.221848749616356,0.17801718009172
"Ateles_chamek_149","Ateles_chamek_149",2,1,NA,NA,NA,NA,0.0517954455579923
"Ateles_chamek_188","Ateles_chamek_188",3,1,NA,NA,NA,0.113943352306837,-0.511883360978874
"Ateles_chamek_281","Ateles_chamek_281",4,1,NA,NA,0.16664970282284,-0.0487728207020266,-0.162080544612867
"Ateles_paniscus_213","Ateles_paniscus_213",6,1,0.0883246254874945,-0.255272505103306,-0.0222763947111523,0.0661296784170341,-0.0689963190686372
"Brachyteles_arachnoides_152","Brachyteles_arachnoides_152",4,1,0.0783929875520511,-1,0,NA,NA
"Callicebus_brunneus_188","Callicebus_brunneus_188",3,1,NA,NA,NA,-0.0663259253620377,0.0791812460476248
"Callicebus_cupreus_222","Callicebus_cupreus_222",2,1,NA,NA,NA,NA,0.139931100831133
"Callicebus_moloch_258","Callicebus_moloch_258",4,1,NA,NA,-0.552841968657781,0.920818753952375,-0.717993241649449
"Callicebus_vieirai_47","Callicebus_vieirai_47",4,1,-0.133330547016359,-0.133330547016359,0.199075165976371,-0.0659529803138696,NA
"Callithrix_penicillata_148","Callithrix_penicillata_148",4,1,-0.0257935171106995,-0.0257935171106994,0.176525770829699,0,NA
"Cebus_olivaceus_189","Cebus_olivaceus_189",3,1,NA,NA,NA,0.0555173278498313,0.778151250383644
"Cebus_olivaceus_60","Cebus_olivaceus_60",3,1,NA,NA,NA,0.734685556602553,-0.0746336182969042
"Chiropotes_chiropotes_189","Chiropotes_chiropotes_189",3,1,NA,NA,NA,0.416963245985468,0.426278831879818
"Chiropotes_satanas_207","Chiropotes_satanas_207",4,1,NA,NA,NA,0,NA
"Crax_alector_213","Crax_alector_213",6,1,0.357703900713755,-0.371067862271736,-0.154901959985743,0.115134833114256,-0.234933930070144
"Crax_fasciolata_47","Crax_fasciolata_47",4,1,-0.302668850544599,-0.302668850544599,0.217882562398755,-0.338456493604605,NA
"Dasyprocta_croconota_136","Dasyprocta_croconota_136",2,1,NA,NA,NA,-0.301029995663981,NA
"Dasyprocta_croconota_151","Dasyprocta_croconota_151",4,1,NA,NA,0.0134626043189623,-0.184375924460168,0.284305378242003
"Dasyprocta_croconota_258","Dasyprocta_croconota_258",4,1,NA,NA,-0.123633147747296,0.342558101615914,-0.310959115544212
"Dasyprocta_croconota_259","Dasyprocta_croconota_259",6,1,NA,0.142636088726814,-0.103605845379043,-0.0153425275400694,0.0564087981907051
"Dasyprocta_croconota_47","Dasyprocta_croconota_47",4,1,-0.0990072126069448,-0.0990072126069448,0.0607705519895607,-0.00389504388352418,NA
"Dasyprocta_fuliginosa_118","Dasyprocta_fuliginosa_118",6,1,0.273001272063738,0.172213603992479,-0.231033567392396,-0.29444965035266,-0.00990828866024895
"Dasyprocta_fuliginosa_149","Dasyprocta_fuliginosa_149",2,1,NA,NA,NA,NA,-0.209949526316649
"Dasyprocta_fuliginosa_188","Dasyprocta_fuliginosa_188",3,1,NA,NA,NA,0,0.0453229787866575
"Dasyprocta_fuliginosa_208","Dasyprocta_fuliginosa_208",4,1,NA,NA,-0.08002535609354,-0.00853258254975042,0.182930683585987
"Dasyprocta_fuliginosa_221","Dasyprocta_fuliginosa_221",2,1,NA,NA,NA,0.0506099933550871,NA
"Dasyprocta_fuliginosa_222","Dasyprocta_fuliginosa_222",2,1,NA,NA,NA,NA,-0.0198083933535526
"Dasyprocta_fuliginosa_232","Dasyprocta_fuliginosa_232",6,1,0.067481305983506,-0.0247293255625561,NA,NA,0.0705810742857074
"Dasyprocta_fuliginosa_256","Dasyprocta_fuliginosa_256",3,1,NA,NA,NA,0.105588302313471,0.114663774615089
"Dasyprocta_fuliginosa_281","Dasyprocta_fuliginosa_281",4,1,NA,NA,0.0191162904470727,0.0880936792007956,0.132089509479024
"Dasyprocta_leporina_169","Dasyprocta_leporina_169",4,1,NA,NA,-0.1249387366083,-0.185431285309825,-0.223425137851311
"Dasyprocta_leporina_187","Dasyprocta_leporina_187",6,1,-0.372634143407267,0.134561981827796,-0.603565346325279,0.0617455959448054,0.239284399719176
"Dasyprocta_leporina_211","Dasyprocta_leporina_211",4,1,NA,NA,0.234704070301943,-0.0579919469776868,0.234083206033368
"Dasyprocta_leporina_213","Dasyprocta_leporina_213",6,1,0.353795712523034,-0.0304893221479003,-0.277964691595288,0.0642642951115083,0.0952925270344372
"Dasyprocta_prymnolopha_207","Dasyprocta_prymnolopha_207",4,1,NA,0.0785286621804283,0.89401607799642,0.175813310577776,NA
"Dasypus_novemcinctus_76","Dasypus_novemcinctus_76",2,1,1,NA,NA,NA,NA
"Guerlinguetus_aestuans_151","Guerlinguetus_aestuans_151",4,1,NA,NA,0.188607816477677,-0.196294645143968,-0.104735350520013
"Guerlinguetus_aestuans_207","Guerlinguetus_aestuans_207",4,1,NA,1,0.73486418052854,-0.0792932335620575,NA
"Guerlinguetus_aestuans_47","Guerlinguetus_aestuans_47",4,1,-0.0984974660086968,-0.0984974660086967,0.198624556750902,0.0853720996142991,NA
"Lagothrix_cana_1633","Lagothrix_cana_1633",3,1,NA,NA,NA,-0.522878745280338,0.238882088915137
"Lagothrix_cana_208","Lagothrix_cana_208",4,1,NA,NA,0.0515323165091049,0.317420411852151,-0.00146473825827376
"Lagothrix_cana_281","Lagothrix_cana_281",4,1,NA,NA,-0.0861861476162833,0.211667413316877,-0.502231975302694
"Mazama_americana_258","Mazama_americana_258",4,1,NA,NA,0.635483746814912,0.48902047801937,-0.920384242178357
"Mazama_gouazoubira_76","Mazama_gouazoubira_76",2,1,1,NA,NA,NA,NA
"Mico_humeralifer_136","Mico_humeralifer_136",2,1,NA,NA,NA,0.110138278741811,NA
"Mico_melanurus_281","Mico_melanurus_281",4,1,NA,NA,-0.0623607440390163,-0.00968726740313175,-0.500602350569185
"Myoprocta_acouchy_169","Myoprocta_acouchy_169",4,1,NA,NA,0,0.0453892883496388,-0.0758786104975392
"Myoprocta_acouchy_187","Myoprocta_acouchy_187",6,1,-0.176091259055681,0.0663259253620377,-0.233817012655801,-0.434568904034199,0.619093330626743
"Myoprocta_acouchy_213","Myoprocta_acouchy_213",6,1,0.325298570390918,0.0851531334447968,-0.314255404187799,0.148164112927987,0.0436397713364585
"Myoprocta_pratti_149","Myoprocta_pratti_149",2,1,NA,NA,NA,NA,-0.212303431710126
"Myoprocta_pratti_173","Myoprocta_pratti_173",5,1,NA,-0.115531268086469,0.089400411229311,0.0477727817960006,0.298003541033793
"Myoprocta_pratti_274","Myoprocta_pratti_274",3,1,NA,NA,NA,0.420505836570779,0.450677771757719
"Odontophorus_capueira_152","Odontophorus_capueira_152",4,1,-1,1,-1,NA,NA
"Odontophorus_gujanensis_258","Odontophorus_gujanensis_258",4,1,NA,NA,-0.380211241711606,-0.397940008672038,0.681241237375587
"Odontophorus_gujanensis_47","Odontophorus_gujanensis_47",4,1,-0.214949512950357,-0.214949512950357,0.154506967251009,0.105130343254747,NA
"Odontophorus_stellatus_274","Odontophorus_stellatus_274",3,1,NA,NA,NA,0.462397997898956,0.326477117876461
"Ortalis_motmot_60","Ortalis_motmot_60",3,1,NA,NA,NA,0.0122344564170116,0.267606240177032
"Pauxi_tuberosa_118","Pauxi_tuberosa_118",6,1,NA,NA,-0.508638306165727,-0.394451680826216,0.541579243946581
"Pauxi_tuberosa_258","Pauxi_tuberosa_258",4,1,NA,NA,NA,NA,0.11419446216171
"Pauxi_tuberosa_281","Pauxi_tuberosa_281",4,1,NA,NA,0.0270752775929209,0.0642110673126178,-0.346558850008845
"Pauxi_tuberosa_47","Pauxi_tuberosa_47",4,1,-0.239173172874484,-0.239173172874484,0.311933358674306,NA,NA
"Pecari_tajacu_207","Pecari_tajacu_207",4,1,NA,-0.696369430805494,0.27083521030723,-0.304518323509803,NA
"Pecari_tajacu_221","Pecari_tajacu_221",2,1,NA,NA,NA,-0.846727664747765,NA
"Pecari_tajacu_232","Pecari_tajacu_232",6,1,-0.0406178509082641,-0.139368452030941,0,0.209949526316649,-0.277548899814458
"Penelope_jacquacu_149","Penelope_jacquacu_149",2,1,NA,NA,NA,NA,0.12057393120585
"Penelope_jacquacu_1633","Penelope_jacquacu_1633",3,1,NA,NA,NA,-0.0157227842628329,-0.0740086441181
"Penelope_jacquacu_173","Penelope_jacquacu_173",5,1,NA,0.0357155522665346,0.176091259055681,-0.406921307691327,0.284514907598423
"Penelope_jacquacu_189","Penelope_jacquacu_189",3,1,NA,NA,NA,-0.170261715394957,0.425968732272281
"Penelope_jacquacu_208","Penelope_jacquacu_208",4,1,NA,NA,0.516039320750032,-0.232314183294521,0.135404170286465
"Penelope_jacquacu_222","Penelope_jacquacu_222",2,1,NA,NA,NA,NA,-0.0973843926094585
"Penelope_jacquacu_232","Penelope_jacquacu_232",6,1,-0.0232524596337114,-0.0506099933550873,0.0506099933550873,0.130333768495006,0.0250022689700555
"Penelope_jacquacu_274","Penelope_jacquacu_274",3,1,NA,NA,NA,0.344392273685111,0.0853600063172973
"Penelope_jacquacu_60","Penelope_jacquacu_60",3,1,NA,NA,NA,1,0.588758361440338
"Penelope_obscura_142","Penelope_obscura_142",3,1,-0.0795640530198786,0.225965315811189,NA,NA,NA
"Pithecia_irrorata_274","Pithecia_irrorata_274",3,1,NA,NA,NA,0.233630580164463,0.0911661374572666
"Pithecia_monachus_149","Pithecia_monachus_149",2,1,NA,NA,NA,NA,-0.684729565221408
"Psophia_crepitans_213","Psophia_crepitans_213",6,1,0.214670164989233,-0.177178354696895,-0.0166416713192175,-0.0737862141609187,-0.104004829772657
"Psophia_dextralis_258","Psophia_dextralis_258",4,1,NA,NA,NA,0.448277828649945,-0.541281118325193
"Rhynchotus_rufescens_76","Rhynchotus_rufescens_76",2,1,-1,NA,NA,NA,NA
"Saguinus_imperator_222","Saguinus_imperator_222",2,1,NA,NA,NA,NA,0.0471383962770606
"Saguinus_midas_169","Saguinus_midas_169",4,1,NA,NA,-0.174047516545695,0.512353631173069,-0.322219294733919
"Saguinus_midas_187","Saguinus_midas_187",6,1,-0.359021942641668,0.165201916625555,-0.204119982655925,0.235212711174338,-0.193820026016113
"Saguinus_weddelli_118","Saguinus_weddelli_118",6,1,-0.253106443346798,0.31380428370041,0.0696359281413944,-0.245727187197076,-0.071693224655075
"Saimiri_boliviensis_222","Saimiri_boliviensis_222",2,1,NA,NA,NA,NA,-0.1249387366083
"Sapajus_apella_118","Sapajus_apella_118",6,1,-0.621083228641393,0.662475913799618,-0.0291582287412134,-0.216354439072936,0.0579919469776868
"Sapajus_apella_136","Sapajus_apella_136",2,1,NA,NA,NA,0.0918304874787815,NA
"Sapajus_apella_151","Sapajus_apella_151",4,1,NA,NA,-0.0754793721803637,0.0634862575211067,-0.0204516252959049
"Sapajus_apella_169","Sapajus_apella_169",4,1,NA,NA,0,-0.00860017176191763,-0.095104212144794
"Sapajus_apella_173","Sapajus_apella_173",5,1,NA,0.111436266204653,0.290620308662217,-0.619983902970133,0.50697602648413
"Sapajus_apella_188","Sapajus_apella_188",3,1,NA,NA,NA,NA,-0.339312353629778
"Sapajus_apella_207","Sapajus_apella_207",4,1,NA,-0.52680903890877,0.87942606879415,-0.204815410317576,NA
"Sapajus_apella_211","Sapajus_apella_211",4,1,NA,NA,-0.244125144327509,-0.181843587944773,0.475186754942463
"Sapajus_apella_213","Sapajus_apella_213",6,1,0.153535536786471,-0.00805764266962339,-0.00490733449474423,0.0669467896306132,-0.115638713530338
"Sapajus_apella_221","Sapajus_apella_221",2,1,NA,NA,NA,-0.251015589246367,NA
"Sapajus_apella_256","Sapajus_apella_256",3,1,NA,NA,NA,-0.238206669678063,0.0625376707255583
"Sapajus_apella_258","Sapajus_apella_258",4,1,NA,NA,-0.590196885495272,0.530866587745323,-0.248433080573001
"Sapajus_apella_259","Sapajus_apella_259",6,1,-0.195519810894007,0,0.337752802688721,0.00582954366072386,-0.0137260245067576
"Sapajus_apella_281","Sapajus_apella_281",4,1,NA,NA,0.119500715300797,-0.139610533688215,-0.0989731735718298
"Sapajus_apella_47","Sapajus_apella_47",4,1,-0.02714264297007,-0.0271426429700699,0.198080489785906,-0.327553903853983,NA
"Sapajus_cay_143","Sapajus_cay_143",5,1,0.634777152163674,0.0759666164045384,-0.310819166274003,0.216001367156595,NA
"Sapajus_macrocephalus_1633","Sapajus_macrocephalus_1633",3,1,NA,NA,NA,-0.735182176990463,0.232111825063678
"Sapajus_macrocephalus_222","Sapajus_macrocephalus_222",2,1,NA,NA,NA,NA,-0.0725506671486116
"Sapajus_macrocephalus_232","Sapajus_macrocephalus_232",6,1,-0.0917703733556454,0.116338564846382,-0.0245681914907371,-0.0723418215173194,-0.0222763947111523
"Sapajus_nigritus_152","Sapajus_nigritus_152",4,1,0.251316426847375,-1,1,NA,NA
"Sapajus_nigritus_172","Sapajus_nigritus_172",2,1,NA,NA,-0.254729976011012,NA,NA
"Tinamus_major_187","Tinamus_major_187",6,1,NA,0.377293238694394,0.00805764266962339,-0.258477644978517,0.204119982655925
"Tinamus_major_213","Tinamus_major_213",6,1,0.0515098194497664,0.209973335668476,-0.374783584314469,-0.0700900686009549,0.149966742310231
